iter	Logloss
0	0.6831700777
1	0.6738367094
2	0.6694596896
3	0.6602972197
4	0.6532178493
5	0.6456274961
6	0.6382007358
7	0.6325877405
8	0.6260833353
9	0.6191778487
10	0.6139567072
11	0.608731769
12	0.6036765058
13	0.5987022155
14	0.5934817116
15	0.5911560526
16	0.587960998
17	0.5843775577
18	0.5812790818
19	0.5781790053
20	0.5750468096
21	0.5719793959
22	0.5688189379
23	0.5669272998
24	0.5645673303
25	0.5623500631
26	0.559487182
27	0.55703719
28	0.5553046336
29	0.5525675853
30	0.5502359741
31	0.5474889692
32	0.5447993631
33	0.542693945
34	0.5407367419
35	0.539018425
36	0.5373453585
37	0.5352494473
38	0.5338580671
39	0.5318171028
40	0.5304700494
41	0.5289641977
42	0.5273205866
43	0.5264702008
44	0.5250103154
45	0.5233918189
46	0.5226346466
47	0.5221074632
48	0.5208384056
49	0.5197247319
50	0.5185870086
51	0.5178560894
52	0.5167230949
53	0.5161778115
54	0.5151303255
55	0.5139149391
56	0.5129641331
57	0.5120810326
58	0.511298073
59	0.5107260651
60	0.5101025463
61	0.5093119412
62	0.5083871014
63	0.5071767496
64	0.5066518507
65	0.5056724624
66	0.5049604657
67	0.5043707104
68	0.5037019561
69	0.5030149705
70	0.5024572912
71	0.5018895961
72	0.501148429
73	0.5006809104
74	0.4999905442
75	0.4993755942
76	0.4991434783
77	0.4989868675
78	0.4984761262
79	0.49799341
80	0.4973880272
81	0.4964432979
82	0.4962202862
83	0.4957407684
84	0.4952536396
85	0.4947984796
86	0.4943877418
87	0.4940438643
88	0.4937413281
89	0.4933039925
90	0.4929498098
91	0.492620728
92	0.4923426702
93	0.492089908
94	0.491575735
95	0.4912752556
96	0.491101418
97	0.4908483291
98	0.4902950629
99	0.4898312463
100	0.4893733744
101	0.4890690601
102	0.488954982
103	0.4888397515
104	0.4882962181
105	0.4878511509
106	0.4875394491
107	0.4874741853
108	0.4871437202
109	0.4870034271
110	0.4867647179
111	0.4864838869
112	0.4863816089
113	0.4861397612
114	0.4859169069
115	0.4855300646
116	0.4853058472
117	0.4848085408
118	0.4846952393
119	0.4844560932
120	0.4843045253
121	0.4839271332
122	0.4838471945
123	0.4835016443
124	0.4834111764
125	0.4831172778
126	0.4830549409
127	0.4829010563
128	0.4827554509
129	0.4823908083
130	0.4821634905
131	0.4820956434
132	0.4817239856
133	0.4813232322
134	0.4812252633
135	0.4811151022
136	0.4810109086
137	0.4806870894
138	0.4805492667
139	0.4804210815
140	0.4803924525
141	0.4801752907
142	0.4798147969
143	0.4797889696
144	0.4796831811
145	0.479542713
146	0.4793210845
147	0.4791600458
148	0.4789243198
149	0.4787970184
150	0.4786495967
151	0.4785604567
152	0.4783132495
153	0.4781561274
154	0.4778027247
155	0.4777445392
156	0.4776114804
157	0.4774783044
158	0.4774249645
159	0.4772243275
160	0.4768564182
161	0.4768017303
162	0.476733349
163	0.4766198712
164	0.4765106362
165	0.476380836
166	0.4760545373
167	0.475839097
168	0.4757807545
169	0.4757052544
170	0.4756204981
171	0.4754847307
172	0.4753787906
173	0.4752695518
174	0.4751608811
175	0.4750318721
176	0.4749447792
177	0.4748637892
178	0.4747823469
179	0.4746669214
180	0.4746028125
181	0.4745405351
182	0.4744697048
183	0.4742795263
184	0.4742249199
185	0.4741186674
186	0.4740495028
187	0.473973895
188	0.4738093533
189	0.4737729032
190	0.4736295553
191	0.4735851592
192	0.4735113656
193	0.4734554183
194	0.4732980567
195	0.4732109467
196	0.4730185438
197	0.4729008829
198	0.4727964203
199	0.4726658016
200	0.4725868963
201	0.4724548919
202	0.4724088998
203	0.4722923993
204	0.4719990658
205	0.4719135608
206	0.4718363906
207	0.4717285697
208	0.4715732994
209	0.4714872051
210	0.471393846
211	0.4712947965
212	0.4712061328
213	0.4711464352
214	0.471107111
215	0.4709758804
216	0.4708431067
217	0.470687137
218	0.4706295184
219	0.4705664692
220	0.4704835905
221	0.4704340364
222	0.470351927
223	0.4702997468
224	0.4702238601
225	0.470176211
226	0.4700461707
227	0.469960516
228	0.4698525049
229	0.4697510961
230	0.4697028576
231	0.469678047
232	0.4695853219
233	0.46947484
234	0.4694634121
235	0.4693929024
236	0.4692549741
237	0.4692164117
238	0.4691817592
239	0.4691170962
240	0.4690880783
241	0.4688949816
242	0.4688372332
243	0.468798107
244	0.4687748604
245	0.4687333573
246	0.4686982616
247	0.468677532
248	0.4686230984
249	0.4685747897
250	0.4685349678
251	0.4685119667
252	0.4684417236
253	0.4683925742
254	0.4683909587
255	0.468320993
256	0.4682846508
257	0.4682657096
258	0.4682149024
259	0.4681843235
260	0.4681143814
261	0.4680289848
262	0.467958048
263	0.4679258998
264	0.4678910312
265	0.467812328
266	0.4677773394
267	0.4677298698
268	0.467687717
269	0.4676348623
270	0.4673950738
271	0.4672926175
272	0.467250612
273	0.4671762494
274	0.4671450938
275	0.467068285
276	0.4670007602
277	0.4668202939
278	0.4667974416
279	0.4667219943
280	0.4666843331
281	0.4665643774
282	0.4664752512
283	0.4664242206
284	0.4663458215
285	0.46629518
286	0.4662561241
287	0.4661910844
288	0.4661002304
289	0.4660733953
290	0.4660342439
291	0.4659889114
292	0.465911156
293	0.4658980889
294	0.4658436271
295	0.4657468034
296	0.465715654
297	0.4656539209
298	0.4656012719
299	0.4655831923
300	0.4655460361
301	0.4654932839
302	0.4654766113
303	0.465402181
304	0.4654012625
305	0.4653356557
306	0.4652661809
307	0.4650957269
308	0.4650400059
309	0.4649487876
310	0.4649159641
311	0.4648576203
312	0.4648299498
313	0.4647805168
314	0.4647181689
315	0.4646610343
316	0.464582671
317	0.4645624135
318	0.4644938549
319	0.464456423
320	0.4643797264
321	0.4643555682
322	0.4642620513
323	0.4641921969
324	0.4641094107
325	0.4640102484
326	0.4639720701
327	0.463915051
328	0.4638644941
329	0.4638027321
330	0.4637436875
331	0.4636760656
332	0.4636178017
333	0.463464121
334	0.4634510417
335	0.4633761057
336	0.4632578624
337	0.4632317408
338	0.463160663
339	0.4631501017
340	0.4630445207
341	0.4630007917
342	0.4629802108
343	0.4629233287
344	0.4628723794
345	0.4628131702
346	0.46276104
347	0.4626756316
348	0.4625710688
349	0.4624526382
350	0.4624129294
351	0.4623574456
352	0.462297111
353	0.4622277762
354	0.4621765203
355	0.46209409
356	0.4620244628
357	0.4619541074
358	0.4618968593
359	0.4618114682
360	0.4616971243
361	0.4616348871
362	0.4616216355
363	0.4615520874
364	0.4614986975
365	0.4614322519
366	0.4613558718
367	0.4612283589
368	0.461108146
369	0.4609984217
370	0.4609143243
371	0.46083696
372	0.4607563116
373	0.4606847901
374	0.4606361466
375	0.4604884673
376	0.4603994699
377	0.4603543823
378	0.4602859307
379	0.460165793
380	0.4601131981
381	0.4600382879
382	0.4599556768
383	0.4598692499
384	0.4597924105
385	0.4597691988
386	0.4596923748
387	0.4596127411
388	0.4595264354
389	0.4593993794
390	0.4592783302
391	0.459225388
392	0.4591435322
393	0.4590753988
